DATE,QPTPAMUSDA
1957-01-01,1.346
1957-04-01,1.398
1957-07-01,1.45
1957-10-01,1.502
1958-01-01,1.545
1958-04-01,1.588
1958-07-01,1.632
1958-10-01,1.676
1959-01-01,1.692
1959-04-01,1.709
1959-07-01,1.721
1959-10-01,1.735
1960-01-01,1.822
1960-04-01,1.903
1960-07-01,1.988
1960-10-01,2.066
1961-01-01,2.062
1961-04-01,2.057
1961-07-01,2.079
1961-10-01,2.075
1962-01-01,2.153
1962-04-01,2.223
1962-07-01,2.291
1962-10-01,2.367
1963-01-01,2.444
1963-04-01,2.525
1963-07-01,2.605
1963-10-01,2.685
1964-01-01,2.798
1964-04-01,2.903
1964-07-01,3.008
1964-10-01,3.129
1965-01-01,3.247
1965-04-01,3.366
1965-07-01,3.498
1965-10-01,3.619
1966-01-01,3.66
1966-04-01,3.761
1966-07-01,3.955
1966-10-01,4.134
1967-01-01,4.169
1967-04-01,4.264
1967-07-01,4.329
1967-10-01,4.414
1968-01-01,4.425
1968-04-01,4.664
1968-07-01,4.809
1968-10-01,5.125
1969-01-01,5.22
1969-04-01,5.519
1969-07-01,5.747
1969-10-01,6.263
1970-01-01,6.336
1970-04-01,6.657
1970-07-01,6.961
1970-10-01,7.052
1971-01-01,7.17
1971-04-01,7.545
1971-07-01,8.224
1971-10-01,9.092
1972-01-01,9.812
1972-04-01,10.397
1972-07-01,11.033
1972-10-01,11.921
1973-01-01,13.611
1973-04-01,15.526
1973-07-01,16.219
1973-10-01,16.481
1974-01-01,17.826
1974-04-01,17.907
1974-07-01,18.063
1974-10-01,20.322
1975-01-01,20.804
1975-04-01,24.132
1975-07-01,19.699
1975-10-01,20.867
1976-01-01,19.719
1976-04-01,18.995
1976-07-01,20.002
1976-10-01,22.788
1977-01-01,19.254
1977-04-01,19.905
1977-07-01,20.306
1977-10-01,23.113
1978-01-01,23.482
1978-04-01,22.545
1978-07-01,23.66
1978-10-01,25.621
1979-01-01,24.446
1979-04-01,25.599
1979-07-01,26.686
1979-10-01,28.233
1980-01-01,29.366
1980-04-01,32.208
1980-07-01,33.057
1980-10-01,34.329
1981-01-01,34.483
1981-04-01,33.537
1981-07-01,34.33
1981-10-01,36.586
1982-01-01,35.339
1982-04-01,32.657
1982-07-01,32.882
1982-10-01,34.802
1983-01-01,33.778
1983-04-01,30.322
1983-07-01,30.185
1983-10-01,31.337
1984-01-01,32.127
1984-04-01,30.872
1984-07-01,30.066
1984-10-01,29.79
1985-01-01,29.843
1985-04-01,30.373
1985-07-01,32.248
