DATE,CPMNACSCAB1GQPT
1995-01-01,21804.4
1995-04-01,22156.2
1995-07-01,22401.6
1995-10-01,22666.4
1996-01-01,22931.5
1996-04-01,23291.8
1996-07-01,23979.7
1996-10-01,24148.6
1997-01-01,24900.2
1997-04-01,25298.7
1997-07-01,25895.4
1997-10-01,26236.6
1998-01-01,26957.7
1998-04-01,27607.6
1998-07-01,28169.2
1998-10-01,28618.9
1999-01-01,29320.1
1999-04-01,29687.2
1999-07-01,30017.2
1999-10-01,30578.8
2000-01-01,31471.2
2000-04-01,31670.3
2000-07-01,32442.3
2000-10-01,32830.7
2001-01-01,33102.6
2001-04-01,33717.5
2001-07-01,34040.7
2001-10-01,34914.3
2002-01-01,35331.9
2002-04-01,35558.7
2002-07-01,35776.5
2002-10-01,35887.1
2003-01-01,36039.5
2003-04-01,36326.5
2003-07-01,36611.0
2003-10-01,37090.8
2004-01-01,37366.9
2004-04-01,37984.7
2004-07-01,38191.0
2004-10-01,38705.8
2005-01-01,38950.8
2005-04-01,39566.5
2005-07-01,39746.0
2005-10-01,40289.4
2006-01-01,40650.6
2006-04-01,41368.3
2006-07-01,41737.8
2006-10-01,42503.7
2007-01-01,43257.6
2007-04-01,43601.3
2007-07-01,43893.4
2007-10-01,44731.1
2008-01-01,44843.1
2008-04-01,44898.3
2008-07-01,44792.0
2008-10-01,44569.4
2009-01-01,43347.7
2009-04-01,43686.1
2009-07-01,44011.5
2009-10-01,44371.1
2010-01-01,44685.7
2010-04-01,44736.9
2010-07-01,45118.1
2010-10-01,45070.1
2011-01-01,44693.2
2011-04-01,44238.4
2011-07-01,44010.8
2011-10-01,43153.8
2012-01-01,42750.5
2012-04-01,41964.4
2012-07-01,41881.5
2012-10-01,41699.2
2013-01-01,42018.0
2013-04-01,42376.7
2013-07-01,42900.6
2013-10-01,43197.0
2014-01-01,43023.7
2014-04-01,43081.2
2014-07-01,43429.3
2014-10-01,43519.5
2015-01-01,44429.3
2015-04-01,44790.9
2015-07-01,45108.7
2015-10-01,45384.3
2016-01-01,45994.4
2016-04-01,46216.5
2016-07-01,46900.4
2016-10-01,47378.5
2017-01-01,48096.5
2017-04-01,48739.2
2017-07-01,49314.3
2017-10-01,49797.1
2018-01-01,50526.2
2018-04-01,51058.0
2018-07-01,51611.4
2018-10-01,51988.6
2019-01-01,52993.8
2019-04-01,53195.8
2019-07-01,53863.5
2019-10-01,54321.6
2020-01-01,52412.6
2020-04-01,45322.5
2020-07-01,51263.9
2020-10-01,51519.8
2021-01-01,51086.4
2021-04-01,53043.4
2021-07-01,54817.6
2021-10-01,55793.7
2022-01-01,57873.5
2022-04-01,59405.7
2022-07-01,60207.0
2022-10-01,61755.6
2023-01-01,64397.9
