"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","HHSAV","TOT","PC_HHDI","A","2000",6.08353163473617,
"PRT","HHSAV","TOT","PC_HHDI","A","2001",6.38331816187255,
"PRT","HHSAV","TOT","PC_HHDI","A","2002",6.21946347963726,
"PRT","HHSAV","TOT","PC_HHDI","A","2003",5.61122172139326,
"PRT","HHSAV","TOT","PC_HHDI","A","2004",4.07102849512569,
"PRT","HHSAV","TOT","PC_HHDI","A","2005",2.76420371094835,
"PRT","HHSAV","TOT","PC_HHDI","A","2006",0.835053617769783,
"PRT","HHSAV","TOT","PC_HHDI","A","2007",-0.39922291804216,
"PRT","HHSAV","TOT","PC_HHDI","A","2008",-0.869490690387154,
"PRT","HHSAV","TOT","PC_HHDI","A","2009",4.06774259251874,
"PRT","HHSAV","TOT","PC_HHDI","A","2010",1.57231144372316,
"PRT","HHSAV","TOT","PC_HHDI","A","2011",0.607412319913274,
"PRT","HHSAV","TOT","PC_HHDI","A","2012",2.06846263787415,
"PRT","HHSAV","TOT","PC_HHDI","A","2013",1.64529912532667,
"PRT","HHSAV","TOT","PC_HHDI","A","2014",-1.41759032276979,
"PRT","HHSAV","TOT","PC_HHDI","A","2015",-1.19186938909014,
"PRT","HHSAV","TOT","PC_HHDI","A","2016",-1.30554464616626,
"PRT","HHSAV","TOT","PC_HHDI","A","2017",-2.24142170232875,
"PRT","HHSAV","TOT","PC_HHDI","A","2018",-2.46664133736181,
"PRT","HHSAV","TOT","PC_HHDI","A","2019",-2.17080711745552,
"PRT","HHSAV","TOT","PC_HHDI","A","2020",2.09825708907234,
"PRT","HHSAV","TOT","PC_HHDI","A","2021",-0.639717664883717,"E"
"PRT","HHSAV","TOT","PC_HHDI","A","2022",-5.43469934498192,"E"
