DATE,QPTN628BIS
2008-01-01,101.7442
2008-04-01,102.0795
2008-07-01,99.2572
2008-10-01,97.5619
2009-01-01,98.4281
2009-04-01,99.341
2009-07-01,99.3876
2009-10-01,99.7881
2010-01-01,100.3563
2010-04-01,100.7475
2010-07-01,99.9651
2010-10-01,98.9311
2011-01-01,98.2232
2011-04-01,96.1088
2011-07-01,94.5346
2011-10-01,91.5167
2012-01-01,90.2033
2012-04-01,88.1541
2012-07-01,87.2785
2012-10-01,87.8467
2013-01-01,86.1142
2013-04-01,85.9279
2013-07-01,86.3936
2013-10-01,88.3869
2014-01-01,89.5699
2014-04-01,91.0044
2014-07-01,90.6411
2014-10-01,90.3337
2015-01-01,90.2964
2015-04-01,93.6777
2015-07-01,93.7522
2015-10-01,94.8606
2016-01-01,96.5652
2016-04-01,99.5832
2016-07-01,100.8872
2016-10-01,102.0609
2017-01-01,104.2219
2017-04-01,107.5938
2017-07-01,111.4035
2017-10-01,112.7634
2018-01-01,116.9737
2018-04-01,119.6842
2018-07-01,120.8299
2018-10-01,123.2704
2019-01-01,127.7414
2019-04-01,131.0109
2019-07-01,133.8239
2019-10-01,136.0594
2020-01-01,141.2756
2020-04-01,143.7627
2020-07-01,143.0827
2020-10-01,146.8831
2021-01-01,150.6183
2021-04-01,154.9962
2021-07-01,159.5603
2021-10-01,163.901
2022-01-01,170.1232
2022-04-01,175.4046
2022-07-01,180.537
2022-10-01,182.4838
2023-01-01,184.9428
