DATE,CP0410PTM086NEST
1996-01-01,62.94
1996-02-01,63.00
1996-03-01,63.06
1996-04-01,63.13
1996-05-01,63.19
1996-06-01,63.32
1996-07-01,63.44
1996-08-01,63.51
1996-09-01,63.51
1996-10-01,63.57
1996-11-01,63.57
1996-12-01,63.57
1997-01-01,65.15
1997-02-01,65.22
1997-03-01,65.34
1997-04-01,65.47
1997-05-01,65.60
1997-06-01,65.66
1997-07-01,65.72
1997-08-01,65.79
1997-09-01,65.85
1997-10-01,65.98
1997-11-01,65.98
1997-12-01,66.04
1998-01-01,67.37
1998-02-01,67.37
1998-03-01,67.43
1998-04-01,67.43
1998-05-01,67.43
1998-06-01,67.50
1998-07-01,67.50
1998-08-01,67.50
1998-09-01,67.50
1998-10-01,67.50
1998-11-01,67.50
1998-12-01,67.56
1999-01-01,68.26
1999-02-01,68.26
1999-03-01,68.32
1999-04-01,68.32
1999-05-01,68.45
1999-06-01,68.45
1999-07-01,68.45
1999-08-01,68.51
1999-09-01,68.51
1999-10-01,68.51
1999-11-01,68.51
1999-12-01,68.57
2000-01-01,69.84
2000-02-01,69.97
2000-03-01,70.03
2000-04-01,70.09
2000-05-01,70.09
2000-06-01,70.16
2000-07-01,70.16
2000-08-01,70.16
2000-09-01,70.16
2000-10-01,70.16
2000-11-01,70.16
2000-12-01,70.22
2001-01-01,71.55
2001-02-01,71.69
2001-03-01,71.82
2001-04-01,71.88
2001-05-01,71.97
2001-06-01,71.97
2001-07-01,71.98
2001-08-01,72.02
2001-09-01,72.04
2001-10-01,72.06
2001-11-01,72.06
2001-12-01,72.07
2002-01-01,73.77
2002-02-01,73.93
2002-03-01,74.02
2002-04-01,74.09
2002-05-01,74.36
2002-06-01,74.39
2002-07-01,74.40
2002-08-01,74.42
2002-09-01,74.43
2002-10-01,74.44
2002-11-01,74.44
2002-12-01,74.45
2003-01-01,75.65
2003-02-01,75.83
2003-03-01,75.93
2003-04-01,76.00
2003-05-01,76.06
2003-06-01,76.07
2003-07-01,76.09
2003-08-01,76.13
2003-09-01,76.15
2003-10-01,76.17
2003-11-01,76.18
2003-12-01,76.19
2004-01-01,77.45
2004-02-01,77.77
2004-03-01,77.93
2004-04-01,77.94
2004-05-01,78.05
2004-06-01,78.08
2004-07-01,78.08
2004-08-01,78.08
2004-09-01,78.11
2004-10-01,78.26
2004-11-01,78.27
2004-12-01,78.36
2005-01-01,79.04
2005-02-01,79.44
2005-03-01,79.70
2005-04-01,79.74
2005-05-01,79.85
2005-06-01,80.04
2005-07-01,80.08
2005-08-01,80.10
2005-09-01,80.14
2005-10-01,80.18
2005-11-01,80.22
2005-12-01,80.30
2006-01-01,80.96
2006-02-01,81.45
2006-03-01,81.83
2006-04-01,81.92
2006-05-01,81.99
2006-06-01,82.03
2006-07-01,82.08
2006-08-01,82.08
2006-09-01,82.09
2006-10-01,82.17
2006-11-01,82.18
2006-12-01,82.22
2007-01-01,82.92
2007-02-01,83.23
2007-03-01,83.63
2007-04-01,83.96
2007-05-01,84.04
2007-06-01,84.16
2007-07-01,84.37
2007-08-01,84.43
2007-09-01,84.51
2007-10-01,84.66
2007-11-01,84.72
2007-12-01,84.78
2008-01-01,85.33
2008-02-01,85.63
2008-03-01,86.19
2008-04-01,86.42
2008-05-01,86.61
2008-06-01,86.82
2008-07-01,86.97
2008-08-01,87.10
2008-09-01,87.16
2008-10-01,87.25
2008-11-01,87.27
2008-12-01,87.28
2009-01-01,87.84
2009-02-01,88.18
2009-03-01,88.54
2009-04-01,88.77
2009-05-01,88.89
2009-06-01,89.22
2009-07-01,89.19
2009-08-01,89.33
2009-09-01,89.43
2009-10-01,89.47
2009-11-01,89.55
2009-12-01,89.59
2010-01-01,90.08
2010-02-01,90.19
2010-03-01,90.85
2010-04-01,90.97
2010-05-01,91.04
2010-06-01,91.07
2010-07-01,91.06
2010-08-01,91.00
2010-09-01,91.00
2010-10-01,91.03
2010-11-01,91.02
2010-12-01,91.01
2011-01-01,91.12
2011-02-01,91.27
2011-03-01,91.55
2011-04-01,91.73
2011-05-01,91.83
2011-06-01,91.87
2011-07-01,91.82
2011-08-01,91.85
2011-09-01,91.84
2011-10-01,91.88
2011-11-01,91.88
2011-12-01,91.92
2012-01-01,92.40
2012-02-01,92.65
2012-03-01,93.13
2012-04-01,93.40
2012-05-01,93.55
2012-06-01,93.70
2012-07-01,93.79
2012-08-01,93.90
2012-09-01,93.89
2012-10-01,93.96
2012-11-01,94.11
2012-12-01,94.14
2013-01-01,94.63
2013-02-01,94.68
2013-03-01,94.51
2013-04-01,94.65
2013-05-01,94.90
2013-06-01,94.79
2013-07-01,94.80
2013-08-01,94.68
2013-09-01,94.71
2013-10-01,94.59
2013-11-01,94.76
2013-12-01,94.88
2014-01-01,97.77
2014-02-01,99.37
2014-03-01,98.95
2014-04-01,98.80
2014-05-01,98.84
2014-06-01,98.90
2014-07-01,98.85
2014-08-01,98.89
2014-09-01,99.04
2014-10-01,99.08
2014-11-01,99.16
2014-12-01,99.27
2015-01-01,100.34
2015-02-01,99.69
2015-03-01,99.64
2015-04-01,99.69
2015-05-01,99.78
2015-06-01,99.98
2015-07-01,100.05
2015-08-01,100.05
2015-09-01,100.05
2015-10-01,100.18
2015-11-01,100.34
2015-12-01,100.20
2016-01-01,100.52
2016-02-01,101.53
2016-03-01,101.44
2016-04-01,101.55
2016-05-01,101.53
2016-06-01,101.56
2016-07-01,101.59
2016-08-01,101.69
2016-09-01,101.85
2016-10-01,102.21
2016-11-01,102.49
2016-12-01,102.50
2017-01-01,102.68
2017-02-01,102.44
2017-03-01,102.69
2017-04-01,102.55
2017-05-01,102.47
2017-06-01,102.55
2017-07-01,102.59
2017-08-01,102.72
2017-09-01,102.88
2017-10-01,102.90
2017-11-01,103.00
2017-12-01,103.14
2018-01-01,103.35
2018-02-01,103.60
2018-03-01,103.84
2018-04-01,104.03
2018-05-01,104.30
2018-06-01,104.50
2018-07-01,104.75
2018-08-01,104.98
2018-09-01,105.28
2018-10-01,105.51
2018-11-01,105.77
2018-12-01,105.98
2019-01-01,106.34
2019-02-01,106.62
2019-03-01,106.98
2019-04-01,107.24
2019-05-01,107.51
2019-06-01,107.81
2019-07-01,108.1
2019-08-01,108.39
2019-09-01,108.71
2019-10-01,109.05
2019-11-01,109.35
2019-12-01,109.54
2020-01-01,109.9
2020-02-01,110.16
2020-03-01,110.48
2020-04-01,110.6
2020-05-01,110.39
2020-06-01,110.36
2020-07-01,110.6
2020-08-01,110.89
2020-09-01,111.16
2020-10-01,111.39
2020-11-01,111.55
2020-12-01,111.65
2021-01-01,111.88
2021-02-01,111.97
2021-03-01,112.13
2021-04-01,112.23
2021-05-01,112.39
2021-06-01,112.55
2021-07-01,112.75
2021-08-01,112.97
2021-09-01,113.25
2021-10-01,113.48
2021-11-01,113.68
2021-12-01,113.83
2022-01-01,114.18
2022-02-01,114.39
2022-03-01,114.63
2022-04-01,114.96
2022-05-01,115.29
2022-06-01,115.53
2022-07-01,115.84
2022-08-01,116.19
2022-09-01,116.56
2022-10-01,116.97
2022-11-01,117.3
2022-12-01,117.59
2023-01-01,118.24
2023-02-01,118.78
2023-03-01,119.43
2023-04-01,119.96
2023-05-01,120.42
